model,context_length,horizon,period,window_idx,mae,rmse,mase,inference_seconds,timestamp
SARIMA,24,24,summer_2023,0,42504.47808332346,42557.05046719428,9.637628748265413,3.1155822000000626,2026-02-06T11:33:53.357847
SARIMA,24,24,summer_2023,1,35570.06076265712,35624.02378941843,8.065292309005743,0.0641083000227809,2026-02-06T11:33:53.424530
SARIMA,24,24,summer_2023,2,31442.267089241446,31581.497123558955,7.129340504213968,0.058642599964514375,2026-02-06T11:33:53.484770
SARIMA,24,24,summer_2023,3,42150.433537908226,42264.78908137767,9.557351327087074,0.05647840001620352,2026-02-06T11:33:53.534121
SARIMA,24,24,summer_2023,4,32478.81012165744,32568.31395825716,7.36437025586609,0.06472769984975457,2026-02-06T11:33:53.604449
SARIMA,24,24,summer_2023,5,41716.0177837411,41877.69493895373,9.458850229088577,0.06438770005479455,2026-02-06T11:33:53.671072
SARIMA,24,24,summer_2023,6,33280.10196307403,33417.60407453421,7.546058248163,0.06449869996868074,2026-02-06T11:33:53.736849
SARIMA,24,24,summer_2023,7,37186.475105074955,37218.68204764407,8.431804310518986,0.06501550017856061,2026-02-06T11:33:53.796525
SARIMA,24,24,summer_2023,8,38740.892775741115,38789.861108230914,8.784258948363407,0.06725989980623126,2026-02-06T11:33:53.868445
SARIMA,24,24,summer_2023,9,34517.22699957401,34653.54061319061,7.826568734460422,0.06425709999166429,2026-02-06T11:33:53.932397
SARIMA,24,24,winter_2022,0,16471.67862066069,16561.47149927262,3.7348517277513085,0.06319079990498722,2026-02-06T11:33:53.998582
SARIMA,24,24,winter_2022,1,25637.011420494295,25709.742776968582,5.813034518419504,0.060520000057294965,2026-02-06T11:33:54.059662
SARIMA,24,24,winter_2022,2,22914.34509732745,22953.68529695475,5.195686690347192,0.06851110002025962,2026-02-06T11:33:54.131219
SARIMA,24,24,winter_2022,3,21035.844239077884,21064.665929931933,4.7697481847709895,0.06288550002500415,2026-02-06T11:33:54.191214
SARIMA,24,24,winter_2022,4,18550.385961244523,18630.372726290607,4.206185820727769,0.06167960003949702,2026-02-06T11:33:54.255519
SARIMA,24,24,winter_2022,5,23709.38595324452,23742.332930287557,5.3759573101630895,0.05921990005299449,2026-02-06T11:33:54.308990
SARIMA,24,24,winter_2022,6,22609.053402410802,22614.120437637943,5.126463677897364,0.06297659990377724,2026-02-06T11:33:54.379920
SARIMA,24,24,winter_2022,7,22835.470121327427,22841.660430967688,5.177802275092725,0.0631275000050664,2026-02-06T11:33:54.437375
SARIMA,24,24,winter_2022,8,24532.803569660708,24536.42977260182,5.562662185735116,0.06535669998265803,2026-02-06T11:33:54.508212
SARIMA,24,24,winter_2022,9,24607.595368577317,24628.600183188446,5.579620765721915,0.061551500111818314,2026-02-06T11:33:54.568891
SARIMA,24,24,covid_2020,0,21458.177311411346,21462.2230849973,4.86550960904457,0.06097949994727969,2026-02-06T11:33:54.630703
SARIMA,24,24,covid_2020,1,19359.260351744822,19407.387587483423,4.389593109351316,0.06348880007863045,2026-02-06T11:33:54.687078
SARIMA,24,24,covid_2020,2,19050.426791411603,19122.17755673558,4.319567000721967,0.061660500010475516,2026-02-06T11:33:54.759477
SARIMA,24,24,covid_2020,3,23476.051758661622,23486.86447531804,5.323050217944309,0.0611888999119401,2026-02-06T11:33:54.807537
SARIMA,24,24,covid_2020,4,22747.635961994514,22751.002593522506,5.157886420170166,0.06000200007110834,2026-02-06T11:33:54.872838
SARIMA,24,24,covid_2020,5,26456.01135624433,26631.537620805815,5.998737712095677,0.06061529996804893,2026-02-06T11:33:54.936578
SARIMA,24,24,covid_2020,6,18886.678345910823,18955.2711137945,4.282438048738405,0.06407549977302551,2026-02-06T11:33:55.005446
SARIMA,24,24,covid_2020,7,19406.75984199508,19435.942006217232,4.400363326359191,0.05941450013779104,2026-02-06T11:33:55.056611
SARIMA,24,24,covid_2020,8,16680.134448745273,16856.528172963943,3.7821178035175627,0.07111299992538989,2026-02-06T11:33:55.139219
SARIMA,24,24,covid_2020,9,22380.21781432859,22448.169951358053,5.07457661700924,0.06393099995329976,2026-02-06T11:33:55.202259
SARIMA,24,168,summer_2023,0,158436.0551904367,175943.15480113632,35.924400183711775,0.07593330019153655,2026-02-06T11:33:55.266681
SARIMA,24,168,summer_2023,1,127970.24305062852,142655.5076190798,29.01646482823521,0.08235180005431175,2026-02-06T11:33:55.355179
SARIMA,24,168,summer_2023,2,135052.03264268007,151781.31002056602,30.622217022809302,0.08072299999184906,2026-02-06T11:33:55.435492
SARIMA,24,168,summer_2023,3,165412.40081829956,184823.80159515064,37.506243608518034,0.07789009995758533,2026-02-06T11:33:55.515327
SARIMA,24,168,summer_2023,4,139067.10358186782,155389.24883235994,31.53260964153488,0.07213309989310801,2026-02-06T11:33:55.595604
SARIMA,24,168,summer_2023,5,160749.9520873454,178557.72611927678,36.44906206076042,0.07562569994479418,2026-02-06T11:33:55.671628
SARIMA,24,168,summer_2023,6,120276.3959475342,133520.95465771432,27.271932360851896,0.07524460018612444,2026-02-06T11:33:55.745503
SARIMA,24,168,summer_2023,7,148717.25756315692,166367.32372510643,33.72072265054392,0.07639950001612306,2026-02-06T11:33:55.823372
SARIMA,24,168,summer_2023,8,152800.27348391683,171283.72917437705,34.646521375572384,0.08069679979234934,2026-02-06T11:33:55.895569
SARIMA,24,168,summer_2023,9,144648.97942686747,162968.40209370415,32.79826562741849,0.08018129994161427,2026-02-06T11:33:55.979995
SARIMA,24,168,winter_2022,0,78390.55972073798,87907.3980985604,17.774576845201153,0.07609979994595051,2026-02-06T11:33:56.059412
SARIMA,24,168,winter_2022,1,96544.95044388193,106933.42621799668,21.890973183432216,0.07851889985613525,2026-02-06T11:33:56.139367
SARIMA,24,168,winter_2022,2,80839.98157978599,89593.0983462207,18.32996817312462,0.07876519998535514,2026-02-06T11:33:56.212384
SARIMA,24,168,winter_2022,3,81664.49600393057,91458.09813765468,18.51692174309712,0.07418340002186596,2026-02-06T11:33:56.293478
SARIMA,24,168,winter_2022,4,78685.49622593046,88623.86670456232,17.84145188212747,0.0787189002148807,2026-02-06T11:33:56.373145
SARIMA,24,168,winter_2022,5,96166.07357488284,107869.12607911123,21.805065185748767,0.07848550006747246,2026-02-06T11:33:56.452746
SARIMA,24,168,winter_2022,6,92153.58860964321,103198.41741350165,20.89525892069669,0.07791590015403926,2026-02-06T11:33:56.532657
SARIMA,24,168,winter_2022,7,94749.82691388114,105968.03757416534,21.48393997376645,0.07557310000993311,2026-02-06T11:33:56.607207
SARIMA,24,168,winter_2022,8,98311.69046911903,109492.14163563612,22.291570608121376,0.07813120004720986,2026-02-06T11:33:56.677017
SARIMA,24,168,winter_2022,9,92776.63742669023,103007.58232546218,21.03653140448002,0.07504150015302002,2026-02-06T11:33:56.749349
SARIMA,24,168,covid_2020,0,81364.60805516921,90922.19293338254,18.4489239968226,0.07534590014256537,2026-02-06T11:33:56.836823
SARIMA,24,168,covid_2020,1,77959.9045022174,87811.22209108906,17.67692842551069,0.07671300019137561,2026-02-06T11:33:56.908777
SARIMA,24,168,covid_2020,2,79562.10002278925,89687.17070016924,18.04021639670128,0.0742367000784725,2026-02-06T11:33:56.989626
SARIMA,24,168,covid_2020,3,98114.45703464646,110051.19010817261,22.246849141021706,0.07445700000971556,2026-02-06T11:33:57.053271
SARIMA,24,168,covid_2020,4,97352.25218131143,108665.8543219064,22.074023882653194,0.07947559980675578,2026-02-06T11:33:57.141042
SARIMA,24,168,covid_2020,5,102389.28947259637,113402.28522709257,23.216141080502503,0.07788729993626475,2026-02-06T11:33:57.221383
SARIMA,24,168,covid_2020,6,65018.65981221472,71639.77794871193,14.742580858221263,0.07658279989846051,2026-02-06T11:33:57.294646
SARIMA,24,168,covid_2020,7,67997.20008226603,75884.92439781007,15.417946528592253,0.07759950007312,2026-02-06T11:33:57.367203
SARIMA,24,168,covid_2020,8,71083.49612831444,80841.33309340128,16.117745157827137,0.07727560005150735,2026-02-06T11:33:57.446295
SARIMA,24,168,covid_2020,9,97413.09744779054,110274.92097534522,22.0878201722645,0.07637989986687899,2026-02-06T11:33:57.526058
SARIMA,48,24,summer_2023,0,2732.224478680062,3278.4012105077627,0.6195150809950262,1.2011015000753105,2026-02-06T11:33:58.733118
SARIMA,48,24,summer_2023,1,4164.945622354534,4528.657057603343,0.9443757805066464,1.2514943000860512,2026-02-06T11:33:59.987280
SARIMA,48,24,summer_2023,2,3120.855647308626,3603.4188624965313,0.707634806072092,1.3736167000606656,2026-02-06T11:34:01.348356
SARIMA,48,24,summer_2023,3,8388.91161595608,9600.464629266664,1.9021340668647568,1.35789560014382,2026-02-06T11:34:02.720348
SARIMA,48,24,summer_2023,4,4187.941243973224,4622.392761082867,0.9495898961478753,1.14187809987925,2026-02-06T11:34:03.858280
SARIMA,48,24,summer_2023,5,14849.376235174253,15725.0847683201,3.3670046487189924,1.3034602000843734,2026-02-06T11:34:05.159078
SARIMA,48,24,summer_2023,6,5083.813468688105,5517.853964733942,1.1527234081218098,1.3159493000712246,2026-02-06T11:34:06.483226
SARIMA,48,24,summer_2023,7,21503.707464430325,22041.018872201374,4.875833290958472,1.173319400055334,2026-02-06T11:34:07.658057
SARIMA,48,24,summer_2023,8,6431.9076101860555,6706.983276611084,1.4583954558528553,1.1439598000142723,2026-02-06T11:34:08.798089
SARIMA,48,24,summer_2023,9,3271.39551343711,3550.107311768879,0.7417687939948643,1.1760986999142915,2026-02-06T11:34:09.974817
SARIMA,48,24,winter_2022,0,8297.223037379748,8778.441271000149,1.8813442461065166,1.1421620000619441,2026-02-06T11:34:11.122984
SARIMA,48,24,winter_2022,1,4996.317295619237,5574.809104908461,1.1328841895039818,1.228853499982506,2026-02-06T11:34:12.337613
SARIMA,48,24,winter_2022,2,1225.4315667459741,1458.8790201029526,0.2778590640155785,1.1197309999261051,2026-02-06T11:34:13.471368
SARIMA,48,24,winter_2022,3,5070.288418260226,5286.999782111909,1.149656686197359,1.2540905999485403,2026-02-06T11:34:14.722984
SARIMA,48,24,winter_2022,4,3147.253784190192,3809.618329742426,0.713620421103329,1.1927544998470694,2026-02-06T11:34:15.906309
SARIMA,48,24,winter_2022,5,2658.387089151772,3017.087356614568,0.602772907461694,1.3122479999437928,2026-02-06T11:34:17.227351
SARIMA,48,24,winter_2022,6,1107.7360508505983,1312.3460689953774,0.2511723303186826,1.1746745000127703,2026-02-06T11:34:18.407451
