model,context_length,horizon,period,window_idx,mae,rmse,mase,inference_seconds,timestamp
Chronos-Bolt,24,24,summer_2023,0,4470.147135416667,5141.191418780182,1.0135783447761222,0.2952678999863565,2026-02-06T12:18:27.908816
Chronos-Bolt,24,24,summer_2023,1,3730.69482421875,3900.6516876971095,0.8459120852727867,0.02816680003888905,2026-02-06T12:18:27.938155
Chronos-Bolt,24,24,summer_2023,2,2827.6598307291665,3803.8172344975305,0.6411544595731189,0.02651060000061989,2026-02-06T12:18:27.964260
Chronos-Bolt,24,24,summer_2023,3,2258.79638671875,2783.8560688193343,0.5121681755612442,0.03020710009150207,2026-02-06T12:18:27.995397
Chronos-Bolt,24,24,summer_2023,4,2719.0979817708335,2961.508308953729,0.616538728627438,0.026810500072315335,2026-02-06T12:18:28.023225
Chronos-Bolt,24,24,summer_2023,5,2854.1163736979165,3972.908289044167,0.6471533178250776,0.027615099912509322,2026-02-06T12:18:28.051067
Chronos-Bolt,24,24,summer_2023,6,2867.79443359375,3040.5600962893177,0.6502547337044624,0.023801099974662066,2026-02-06T12:18:28.074952
Chronos-Bolt,24,24,summer_2023,7,1028.5755208333333,1332.7335043369148,0.2332231674486731,0.025138899916782975,2026-02-06T12:18:28.100825
Chronos-Bolt,24,24,summer_2023,8,1309.2083333333333,1739.0378449153343,0.29685493011035213,0.02601839997805655,2026-02-06T12:18:28.125799
Chronos-Bolt,24,24,summer_2023,9,2892.4873046875,3519.2540657547675,0.6558536902159107,0.02832400007173419,2026-02-06T12:18:28.153705
Chronos-Bolt,24,24,winter_2022,0,3319.23974609375,3614.124430128189,0.7526171792211552,0.027206500060856342,2026-02-06T12:18:28.184239
Chronos-Bolt,24,24,winter_2022,1,2623.4469401041665,3094.4630876107453,0.5948504437563461,0.02839159988798201,2026-02-06T12:18:28.208836
Chronos-Bolt,24,24,winter_2022,2,2473.0358072916665,2783.6317100493707,0.5607456453204922,0.026623999932780862,2026-02-06T12:18:28.240178
Chronos-Bolt,24,24,winter_2022,3,1469.39111328125,1646.6728630940972,0.33317538938000296,0.027774899965152144,2026-02-06T12:18:28.268013
Chronos-Bolt,24,24,winter_2022,4,1881.3094075520833,2208.0838073445575,0.42657532684114835,0.02695139986462891,2026-02-06T12:18:28.295922
Chronos-Bolt,24,24,winter_2022,5,1336.2054036458333,1495.721477944542,0.30297634961002545,0.029292199993506074,2026-02-06T12:18:28.326498
Chronos-Bolt,24,24,winter_2022,6,643.15771484375,852.6449017799058,0.14583205256856896,0.02692639990709722,2026-02-06T12:18:28.353760
Chronos-Bolt,24,24,winter_2022,7,709.0113932291666,807.7990047364016,0.16076396874789803,0.02807820006273687,2026-02-06T12:18:28.380663
Chronos-Bolt,24,24,winter_2022,8,812.7893880208334,965.401710424916,0.18429499021064413,0.02739499998278916,2026-02-06T12:18:28.410046
Chronos-Bolt,24,24,winter_2022,9,1526.5320638020833,1936.652606793524,0.34613174815150055,0.02774589997716248,2026-02-06T12:18:28.430387
Chronos-Bolt,24,24,covid_2020,0,1174.2134602864583,1380.1025245137703,0.2662456736740178,0.026740900008007884,2026-02-06T12:18:28.466905
Chronos-Bolt,24,24,covid_2020,1,881.244384765625,1278.126902669658,0.19981673931427255,0.02368299989029765,2026-02-06T12:18:28.478258
Chronos-Bolt,24,24,covid_2020,2,1263.593994140625,1860.9129502942199,0.28651215949980663,0.025874899933114648,2026-02-06T12:18:28.516002
Chronos-Bolt,24,24,covid_2020,3,598.73974609375,726.2530034264131,0.13576055159106343,0.025564300129190087,2026-02-06T12:18:28.541718
Chronos-Bolt,24,24,covid_2020,4,621.0411783854166,823.8740655612754,0.14081726407581194,0.026816299883648753,2026-02-06T12:18:28.569692
Chronos-Bolt,24,24,covid_2020,5,2219.65478515625,3548.2031245908324,0.5032930583622424,0.026370199862867594,2026-02-06T12:18:28.588015
Chronos-Bolt,24,24,covid_2020,6,1985.5760091145833,2506.0058795679092,0.45021713688132264,0.0281980000436306,2026-02-06T12:18:28.624864
Chronos-Bolt,24,24,covid_2020,7,1543.1339518229167,1970.8865365845018,0.3498961240591733,0.02685590018518269,2026-02-06T12:18:28.652456
Chronos-Bolt,24,24,covid_2020,8,2385.090576171875,3141.373008337466,0.5408046055540141,0.025901100132614374,2026-02-06T12:18:28.672653
Chronos-Bolt,24,24,covid_2020,9,1681.47119140625,2059.9276219117087,0.3812632415320757,0.024498499929904938,2026-02-06T12:18:28.697130
Chronos-Bolt,24,168,summer_2023,0,6226.552618117559,6773.480758444058,1.4118324755645346,0.20030260016210377,2026-02-06T12:18:28.902037
Chronos-Bolt,24,168,summer_2023,1,2763.688499813988,3211.399300729247,0.6266493540949547,0.12688270001672208,2026-02-06T12:18:29.025497
