model,context_length,horizon,period,window_idx,mae,rmse,mase,inference_seconds,timestamp
SARIMA,168,24,covid_2020,9,2916.7832590991434,3388.827361600179,0.6613626483131063,2.9518179001752287,2026-02-06T11:38:40.483116
SARIMA,168,168,summer_2023,0,15091.927658746676,19545.30696722113,3.42200169086998,2.80201549991034,2026-02-06T11:38:43.284254
SARIMA,168,168,summer_2023,1,48039.1118127713,57034.3205421561,10.892572875269623,3.0729195999447256,2026-02-06T11:38:46.354489
SARIMA,168,168,summer_2023,2,20438.67841723434,23983.14384886781,4.634344510814599,2.6404417001176625,2026-02-06T11:38:49.008343
SARIMA,168,168,summer_2023,3,42629.746148751736,50243.98572035047,9.666032510952355,2.7094119999092072,2026-02-06T11:38:51.712848
SARIMA,168,168,summer_2023,4,12108.794690301278,13876.060972010446,2.7455946544107364,2.5272224999498576,2026-02-06T11:38:54.232725
SARIMA,168,168,summer_2023,5,21500.86538465787,24184.585189322905,4.875188866865882,2.566167899873108,2026-02-06T11:38:56.810993
SARIMA,168,168,summer_2023,6,34350.81864102752,40052.28969527104,7.788836663568142,2.523703800048679,2026-02-06T11:38:59.337030
SARIMA,168,168,summer_2023,7,21737.56731339523,25920.21251251571,4.928859572072448,2.683604300022125,2026-02-06T11:39:02.022144
SARIMA,168,168,summer_2023,8,2134.0137007491394,2596.1561689400137,0.4838744696785613,2.726744999876246,2026-02-06T11:39:04.746350
SARIMA,168,168,summer_2023,9,11898.68463569316,13336.645784897222,2.697953492963672,2.777153000002727,2026-02-06T11:39:07.515173
SARIMA,168,168,winter_2022,0,3493.656130954662,4168.616999065168,0.7921650207829029,2.77506439993158,2026-02-06T11:39:10.301278
SARIMA,168,168,winter_2022,1,6886.001253978919,7615.297849263414,1.561358394187105,2.77281210012734,2026-02-06T11:39:13.076149
SARIMA,168,168,winter_2022,2,8098.42106683271,10599.930251493508,1.8362671231078536,2.8060983000323176,2026-02-06T11:39:15.874484
SARIMA,168,168,winter_2022,3,23283.47654670085,27707.35825578541,5.279384974123221,2.7568151999730617,2026-02-06T11:39:18.640456
SARIMA,168,168,winter_2022,4,21929.49714987291,25666.86309728402,4.972378480975671,2.4549464997835457,2026-02-06T11:39:21.096138
SARIMA,168,168,winter_2022,5,8312.876510108643,9389.503744693597,1.884893574685177,2.8334357000421733,2026-02-06T11:39:23.930641
SARIMA,168,168,winter_2022,6,5182.793503944408,6911.503682001384,1.1751665217961016,3.00773339997977,2026-02-06T11:39:26.933820
SARIMA,168,168,winter_2022,7,15285.681767195834,18744.231083750543,3.465934242212536,2.6389973999466747,2026-02-06T11:39:29.577861
SARIMA,168,168,winter_2022,8,7212.42987000511,8199.623604881288,1.6353740733798543,2.9093377999961376,2026-02-06T11:39:32.487822
SARIMA,168,168,winter_2022,9,4946.091265909146,6727.061251772707,1.1214957464581392,2.995547999860719,2026-02-06T11:39:35.479488
SARIMA,168,168,covid_2020,0,10982.907948623984,13319.980996736364,2.490306766682566,3.1837036998476838,2026-02-06T11:39:38.655710
SARIMA,168,168,covid_2020,1,14282.162335463308,16504.328121443075,3.238392388722445,2.9646035998594016,2026-02-06T11:39:41.624709
SARIMA,168,168,covid_2020,2,6363.89641807194,7453.1406846527,1.442974336717176,2.963782399892807,2026-02-06T11:39:44.595571
SARIMA,168,168,covid_2020,3,21140.60525338204,24888.71606724802,4.793502099856735,2.946159499930218,2026-02-06T11:39:47.545423
SARIMA,168,168,covid_2020,4,8216.98703647175,9647.391320399816,1.863151226832621,2.5286471999716014,2026-02-06T11:39:50.074008
SARIMA,168,168,covid_2020,5,16043.008269010556,17821.638857250764,3.637653364404899,2.7234729998745024,2026-02-06T11:39:52.796989
SARIMA,168,168,covid_2020,6,30505.00290104525,35948.20032840035,6.916821619329145,4.202581000048667,2026-02-06T11:39:56.994463
SARIMA,168,168,covid_2020,7,17266.210688000734,20977.220460901182,3.915006982889461,4.0187894001137465,2026-02-06T11:40:01.020627
SARIMA,168,168,covid_2020,8,19889.82589263608,22554.323986206397,4.509895579592418,4.159048900008202,2026-02-06T11:40:05.178176
SARIMA,168,168,covid_2020,9,20543.64286153527,24997.331994251395,4.6581445523998,4.474902000045404,2026-02-06T11:40:09.656549
SARIMA,336,24,summer_2023,0,2440.5130080250788,3228.4867605975737,0.5533713007968099,7.422602300066501,2026-02-06T11:40:17.077512
SARIMA,336,24,summer_2023,1,3989.271161988087,4433.252133795687,0.9045426780687186,7.60227799997665,2026-02-06T11:40:24.677476
SARIMA,336,24,summer_2023,2,5076.92873724941,6011.436987954886,1.1511623376504214,6.721460099797696,2026-02-06T11:40:31.405734
SARIMA,336,24,summer_2023,3,7017.589534388596,7595.900023008472,1.5911952267139038,4.674491100013256,2026-02-06T11:40:36.079962
SARIMA,336,24,summer_2023,4,4728.870341552195,5190.646037727755,1.0722422390699675,7.082626600051299,2026-02-06T11:40:43.163910
SARIMA,336,24,summer_2023,5,4761.7937522825805,5909.941287625603,1.079707419776906,3.760145300067961,2026-02-06T11:40:46.915643
SARIMA,336,24,summer_2023,6,4700.845989273166,5327.78843871672,1.0658878897083213,6.725600200006738,2026-02-06T11:40:53.651307
SARIMA,336,24,summer_2023,7,3421.84565306712,3793.863601364184,0.775882436986463,6.1825738998595625,2026-02-06T11:40:59.823449
SARIMA,336,24,summer_2023,8,2613.8022214208545,3231.009057798206,0.5926635631676938,6.473988099955022,2026-02-06T11:41:06.307873
SARIMA,336,24,summer_2023,9,2561.209798187316,3412.9238030736674,0.5807385549579033,6.568715600064024,2026-02-06T11:41:12.874872
SARIMA,336,24,winter_2022,0,3413.376837640894,3632.09386445915,0.7739621852225066,6.634553699987009,2026-02-06T11:41:19.514601
SARIMA,336,24,winter_2022,1,4373.85911795057,4756.691756120367,0.991745629563726,6.894095400115475,2026-02-06T11:41:26.409095
SARIMA,336,24,winter_2022,2,1120.7643254592003,1372.8838291608224,0.2541264113842591,6.755278400145471,2026-02-06T11:41:33.163543
SARIMA,336,24,winter_2022,3,907.166041605629,1061.07756627168,0.2056943154292916,7.415457800030708,2026-02-06T11:41:40.577523
SARIMA,336,24,winter_2022,4,2231.9560497613097,2902.617204662764,0.5060822943849818,6.921265300130472,2026-02-06T11:41:47.502661
SARIMA,336,24,winter_2022,5,2287.296334782705,2599.4334545433703,0.51863036333936,6.940085400128737,2026-02-06T11:41:54.442570
SARIMA,336,24,winter_2022,6,797.7415166970708,997.9660154678832,0.1808829780225214,6.452309199841693,2026-02-06T11:42:00.890173
SARIMA,336,24,winter_2022,7,531.6917606804233,660.3382138400113,0.1205578336452974,6.867516399826855,2026-02-06T11:42:07.763837
SARIMA,336,24,winter_2022,8,624.7904628854243,688.3582421525279,0.141667391255632,6.661130300024524,2026-02-06T11:42:14.426032
SARIMA,336,24,winter_2022,9,854.744226266449,1316.1040150258195,0.1938079915092865,6.939129000063986,2026-02-06T11:42:21.365486
SARIMA,336,24,covid_2020,0,582.888950914637,669.7676130581948,0.132166481361531,7.178177099907771,2026-02-06T11:42:28.535666
SARIMA,336,24,covid_2020,1,1639.648841903886,2173.4978908777825,0.3717802812403663,7.088032499887049,2026-02-06T11:42:35.625445
