model,context_length,horizon,period,window_idx,mae,rmse,mase,inference_seconds,timestamp
SeasonalNaive,48,168,covid_2020,8,4196.803571428572,5811.311454007279,0.9515993743419789,4.5000109821558e-05,2026-02-06T11:33:18.803312
SeasonalNaive,48,168,covid_2020,9,3995.1666666666665,5386.468030652191,0.9058794474619206,4.269997589290142e-05,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,summer_2023,0,5853.916666666667,6487.611623959417,1.3273395675161141,1.1100200936198235e-05,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,summer_2023,1,9650.041666666666,9856.269161892174,2.1880875423598125,9.19983722269535e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,summer_2023,2,6123.416666666667,6652.407302373079,1.388447033476897,8.999835699796677e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,summer_2023,3,5785.166666666667,5834.529429754097,1.311750928240404,8.800067007541656e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,summer_2023,4,3374.0833333333335,3858.4462222506095,0.765052625011174,8.699949830770493e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,summer_2023,5,3896.4583333333335,4316.749669407914,0.8834979405260681,8.499948307871819e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,summer_2023,6,2106.9583333333335,3100.2302401058323,0.4777398316695897,8.499948307871819e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,summer_2023,7,899.8333333333334,1248.0476419859406,0.20403166896862499,8.300179615616798e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,summer_2023,8,3061.9166666666665,3723.5835897694037,0.6942707550392839,8.299946784973145e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,summer_2023,9,2800.4583333333335,5021.183671041454,0.6349866874907508,8.300179615616798e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,winter_2022,0,6123.0,6467.658759808942,1.388352556875226,1.0299962013959885e-05,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,winter_2022,1,2412.7083333333335,2988.419405248645,0.5470667619757469,8.899951353669167e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,winter_2022,2,1492.375,2049.399983328454,0.3383868442049102,8.599832653999329e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,winter_2022,3,2920.3333333333335,3713.7169946923345,0.6621676057914886,8.299946784973145e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,winter_2022,4,4319.208333333333,5106.197741470653,0.9793539005814332,8.200062438845634e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,winter_2022,5,2370.75,2656.0512043257,0.5375529681874803,8.200062438845634e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,winter_2022,6,2256.7083333333335,2761.1713924226674,0.511694722310136,8.600065484642982e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,winter_2022,7,3018.25,3667.4341620993464,0.6843696071841664,8.400063961744308e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,winter_2022,8,1306.75,1701.634581806564,0.29629751816049343,8.200062438845634e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,winter_2022,9,1056.2083333333333,1423.6199311379892,0.23948873757573969,8.400063961744308e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,covid_2020,0,1825.7916666666667,2485.0587937377522,0.41398702086201977,1.009996049106121e-05,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,covid_2020,1,2650.6666666666665,3329.9828703263124,0.6010223491900373,9.19983722269535e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,covid_2020,2,1674.2916666666667,2068.3280183923116,0.37963532849445536,8.800067007541656e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,covid_2020,3,1667.4583333333333,2124.0092494305827,0.37808591222705146,8.499948307871819e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,covid_2020,4,3894.6666666666665,4399.357367843626,0.8830916911388829,8.200062438845634e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,covid_2020,5,2183.1666666666665,2711.9815019034822,0.49501960211520996,8.499948307871819e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,covid_2020,6,2220.75,3390.307397567365,0.5035413915859314,8.400063961744308e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,covid_2020,7,4370.041666666667,4988.566865844338,0.9908800459852917,8.300179615616798e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,covid_2020,8,3516.0416666666665,3828.3687072085067,0.7972408032004732,8.299946784973145e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,24,covid_2020,9,3018.5,3912.2220135535936,0.6844262931451689,8.400063961744308e-06,2026-02-06T11:33:18.803312
SeasonalNaive,96,168,summer_2023,0,6611.452380952381,7240.2700176562075,1.4991061273483648,4.269997589290142e-05,2026-02-06T11:33:18.803312
SeasonalNaive,96,168,summer_2023,1,5918.1547619047615,6672.483526001537,1.341905160162301,4.1300198063254356e-05,2026-02-06T11:33:18.803312
SeasonalNaive,96,168,summer_2023,2,4876.821428571428,5552.227172174115,1.105789237266215,4.1899969801306725e-05,2026-02-06T11:33:18.803312
SeasonalNaive,96,168,summer_2023,3,4226.476190476191,4795.592399723491,0.9583274580466902,4.109996370971203e-05,2026-02-06T11:33:18.803312
SeasonalNaive,96,168,summer_2023,4,3520.3988095238096,4082.0235987453925,0.7982287585208039,4.100007936358452e-05,2026-02-06T11:33:18.803312
SeasonalNaive,96,168,summer_2023,5,3429.964285714286,4068.542196800084,0.7777232869609891,4.120008088648319e-05,2026-02-06T11:33:18.803312
SeasonalNaive,96,168,summer_2023,6,3855.6428571428573,4755.585623143339,0.8742432825595275,4.0800077840685844e-05,2026-02-06T11:33:18.803312
SeasonalNaive,96,168,summer_2023,7,4874.380952380952,6096.732842854676,1.1052358743135708,4.120008088648319e-05,2026-02-06T11:33:18.803312
