coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,crps,winkler_90,model,window,context_length,horizon
0.08333333333333333,0.03121125088078387,0.4583333333333333,0.0598622217510382,0.5416666666666666,0.07705306762041748,0.625,0.0925507205670382,2010.183223634761,21059.984169919564,Chronos-Bolt,0,512,24
0.16666666666666666,0.04138563842325415,0.8333333333333334,0.07843660513133635,0.9583333333333334,0.10077835842622576,1.0,0.11584085678164224,1033.9632586519317,5856.374201944486,Chronos-Bolt,1,512,24
0.8333333333333334,0.04431299302981241,1.0,0.08230171867882545,1.0,0.10453504110200158,1.0,0.12153646423271608,650.0133795050087,6308.44581540989,Chronos-Bolt,2,512,24
0.041666666666666664,0.033663721496849965,0.16666666666666666,0.06512233665513778,0.3333333333333333,0.08354068512972392,0.4583333333333333,0.09869325353482518,2217.5451041576257,17987.646326712416,Chronos-Bolt,3,512,24
0.16666666666666666,0.03865597506309331,0.2916666666666667,0.07254690885453598,0.4583333333333333,0.0932811683189508,0.5833333333333334,0.10835747306367831,1975.900282614765,13338.976237422408,Chronos-Bolt,4,512,24
0.5416666666666666,0.03810193546243002,0.7083333333333334,0.07369391716119063,0.75,0.09396977651526295,0.75,0.10920191865710606,1841.7872567771326,20944.450850349236,Chronos-Bolt,5,512,24
0.7083333333333334,0.04742738308733238,1.0,0.09465211235158649,1.0,0.11849980728965037,1.0,0.1387950220434486,821.2408032896975,6903.902460026409,Chronos-Bolt,6,512,24
0.9166666666666666,0.044717347704351026,0.9583333333333334,0.08172705455060585,1.0,0.10080665310476494,1.0,0.12004329009397711,573.5135754379835,6034.2778542968035,Chronos-Bolt,7,512,24
0.5833333333333334,0.03972491569985244,0.8333333333333334,0.07453007062101055,1.0,0.09525129239284587,1.0,0.11135344118137996,916.4476595663413,5784.85308405236,Chronos-Bolt,8,512,24
0.7083333333333334,0.038430082253829365,1.0,0.07200526922146971,1.0,0.09186518566177791,1.0,0.1080588367878343,648.4173033229109,5845.36645279465,Chronos-Bolt,9,512,24
0.375,0.043599325868601706,0.9166666666666666,0.08155019101803497,1.0,0.10360048078570115,1.0,0.12208910158974823,911.477644368685,6793.649011076046,Chronos-Bolt,10,512,24
0.2916666666666667,0.03660606383318688,0.5,0.06749032425310547,0.7916666666666666,0.08638051614671342,0.9166666666666666,0.10436082799102708,1454.1270261945253,8255.608940213713,Chronos-Bolt,11,512,24
0.3333333333333333,0.03348749210169797,0.6666666666666666,0.06324207906750295,0.875,0.080052916325195,1.0,0.09285627659390797,982.5617325648094,5562.017612915571,Chronos-Bolt,12,512,24
0.6666666666666666,0.02958356100003468,1.0,0.054556708770951264,1.0,0.0696698894910371,1.0,0.0821195261517845,565.5732211780601,4736.208437105757,Chronos-Bolt,13,512,24
0.9166666666666666,0.03044292157451115,1.0,0.058596763825616245,1.0,0.07502591182055822,1.0,0.08788047921473784,450.93631729950374,4925.910644729546,Chronos-Bolt,14,512,24
0.4583333333333333,0.029944122912679852,0.625,0.053788653924498886,0.7083333333333334,0.0687230821247856,0.7083333333333334,0.08272887444521997,1258.6305573250481,11107.006198840978,Chronos-Bolt,15,512,24
0.5833333333333334,0.03264711019184554,0.9166666666666666,0.06058720976278819,1.0,0.0757562600115728,1.0,0.08876239740304917,701.4835368311205,4881.521908919886,Chronos-Bolt,16,512,24
0.125,0.03152161130236967,0.625,0.05888356147381381,0.9166666666666666,0.0758172674070547,1.0,0.09014530021023133,1100.5076038771217,5249.509404032567,Chronos-Bolt,17,512,24
0.875,0.03009017023320839,1.0,0.056815400241889115,1.0,0.07270207692106567,1.0,0.08461582345492204,514.5449712507865,4989.349666887614,Chronos-Bolt,18,512,24
0.6666666666666666,0.025914490163257208,1.0,0.04963409355513849,1.0,0.06302964014637942,1.0,0.07435175315003645,461.49799602315596,4280.883866751882,Chronos-Bolt,19,512,24
0.2916666666666667,0.027541631349906462,0.7916666666666666,0.05222632877723284,0.8333333333333334,0.06835042158239914,0.9166666666666666,0.08033561143781565,864.6003646485988,5929.462032934184,Chronos-Bolt,20,512,24
0.5416666666666666,0.02951296913337143,0.7916666666666666,0.05446636214483823,0.9583333333333334,0.06939147912775205,1.0,0.08053707950879768,701.9388933408605,4745.188722092574,Chronos-Bolt,21,512,24
0.20833333333333334,0.031244406685365246,0.5416666666666666,0.057758406420424575,0.6666666666666666,0.07191668847647535,0.75,0.08488708301508914,1326.9918450544355,10545.105431340982,Chronos-Bolt,22,512,24
0.3333333333333333,0.032016484853758694,0.5833333333333334,0.05917841915079449,0.875,0.07675440416735939,0.9583333333333334,0.0874138973387583,970.9855723032587,5636.926902309401,Chronos-Bolt,23,512,24
0.375,0.028927319441906886,0.7083333333333334,0.05190642841234588,0.9583333333333334,0.06638558872451715,1.0,0.07861491819000291,742.4157372988967,4445.094017780541,Chronos-Bolt,24,512,24
0.6666666666666666,0.02575442962027629,0.9583333333333334,0.04942575252296399,1.0,0.06356264541946788,1.0,0.07503596691226173,477.2847258387735,4212.826200659965,Chronos-Bolt,25,512,24
0.6666666666666666,0.026944200063516447,0.9166666666666666,0.05281094171198388,1.0,0.06580722877632243,1.0,0.07581691441750332,479.9707078593721,4330.979373359704,Chronos-Bolt,26,512,24
0.9166666666666666,0.027685133992875574,1.0,0.05183117004219003,1.0,0.06750441471185746,1.0,0.0790338084374924,378.7198419014733,4399.811180141282,Chronos-Bolt,27,512,24
0.5,0.030597266832881685,1.0,0.05788270564799284,1.0,0.07244517022728206,1.0,0.08591182918161437,630.5743712543023,4605.62321493171,Chronos-Bolt,28,512,24
