model,missing_rate,window,mae,rmse,mase
Moirai-2,0.0,6,1377.06494140625,1823.8245798510538,0.3122409982663074
Moirai-2,0.0,7,981.1005859375,1249.8728300698199,0.2224585182162519
Moirai-2,0.0,8,863.8059895833334,1036.9586624635688,0.1958626905572686
Moirai-2,0.0,9,583.0467122395834,740.8500434723063,0.1322022527707855
Moirai-2,0.05,0,901.0960286458334,1068.6006057417449,0.20431797735759505
Moirai-2,0.05,1,949.59765625,1046.334281484274,0.21531542284132113
Moirai-2,0.05,2,844.4928385416666,1001.5705952089169,0.19148355245012905
Moirai-2,0.05,3,1674.46630859375,1885.936080531587,0.3796749274763276
Moirai-2,0.05,4,1900.0144856770833,2053.649517619535,0.4308165881577243
Moirai-2,0.05,5,956.671875,1184.7010630648372,0.21691945839406607
Moirai-2,0.05,6,1347.2096354166667,1764.4797924524448,0.3054714914221248
Moirai-2,0.05,7,975.8277994791666,1235.043256561693,0.2212629463460438
Moirai-2,0.05,8,855.9794921875,1029.709514481766,0.19408808045260054
Moirai-2,0.05,9,569.7473958333334,725.3890827316627,0.12918671464612277
Moirai-2,0.1,0,858.88720703125,1038.1134335538984,0.1947473868935583
Moirai-2,0.1,1,1024.6975911458333,1119.875886064251,0.2323438707645276
Moirai-2,0.1,2,867.7643229166666,1029.76172187964,0.1967602182731428
Moirai-2,0.1,3,1696.20751953125,1892.0932734466562,0.3846046132177357
Moirai-2,0.1,4,1909.4611002604167,2072.0602470091676,0.43295854986123333
Moirai-2,0.1,5,965.8693033854166,1164.56806402188,0.2190049186611851
Moirai-2,0.1,6,1322.4352213541667,1724.2010957105329,0.2998540455444901
Moirai-2,0.1,7,1043.9801432291667,1335.0462723612438,0.23671607074623194
Moirai-2,0.1,8,799.51220703125,984.9891176810269,0.1812844711554452
Moirai-2,0.1,9,580.31005859375,744.8441649446264,0.13158173340340437
Moirai-2,0.2,0,822.73486328125,982.8286307487998,0.1865500655017006
Moirai-2,0.2,1,1006.24755859375,1126.1103107983288,0.2281604394615526
Moirai-2,0.2,2,872.9752604166666,1005.3422877531001,0.19794176627279034
Moirai-2,0.2,3,1677.8214518229167,1880.1058186315856,0.38043568554931406
Moirai-2,0.2,4,1617.1023763020833,1771.3596962803,0.366668008960967
Moirai-2,0.2,5,928.9990234375,1218.5516461893378,0.21064480965605767
Moirai-2,0.2,6,1232.0310872395833,1609.9607069676142,0.27935546466092437
Moirai-2,0.2,7,1037.6892903645833,1301.7817847501728,0.2352896585856129
Moirai-2,0.2,8,778.1398111979166,984.8651598539527,0.1764384119684849
Moirai-2,0.2,9,614.6974283854166,739.3059572940856,0.13937885781537143
TTM,0.0,0,2102.5084635416665,2299.426411145138,0.47673085108768176
TTM,0.0,1,1744.0250651041667,1863.826769447156,0.39544694731207775
TTM,0.0,2,1760.5857747395833,1882.9296404244787,0.39920198627435094
TTM,0.0,3,2686.6595052083335,2882.134098936052,0.6091835037578179
TTM,0.0,4,2144.3671875,2322.7564834661903,0.4862220590633614
TTM,0.0,5,1296.1883138020833,1541.296864143242,0.293902720832747
TTM,0.0,6,1870.8837890625,2081.1298893010676,0.42421138202863506
TTM,0.0,7,1154.95703125,1453.8764736808826,0.26187939693237916
TTM,0.0,8,1618.2770182291667,1784.5991115930958,0.36693435178684963
TTM,0.0,9,1694.7853190104167,1922.2153044926683,0.38428213800468847
TTM,0.05,0,2098.9903971354165,2297.5137764783,0.47593315118724505
TTM,0.05,1,1739.5939127604167,1864.570352879811,0.3944422107962605
TTM,0.05,2,1739.1796875,1863.025686294112,0.39434828776842745
TTM,0.05,3,2687.0724283854165,2877.8218042037743,0.6092771315462707
TTM,0.05,4,2134.16259765625,2306.327763613653,0.4839082311356408
TTM,0.05,5,1311.17529296875,1554.954957983297,0.2973009260990997
TTM,0.05,6,1859.8518880208333,2068.7533004685242,0.42170996637970604
TTM,0.05,7,1142.255859375,1441.3544633250497,0.25899948439800585
TTM,0.05,8,1616.60546875,1778.5813504666617,0.36655533823248987
TTM,0.05,9,1683.0120442708333,1920.69121824186,0.38161262043364563
TTM,0.1,0,2095.5509440104165,2295.0553755799506,0.4751532763643892
TTM,0.1,1,1716.0960286458333,1846.6568445162522,0.38911421022601067
TTM,0.1,2,1773.0501302083333,1891.0810075636684,0.40202820214644647
TTM,0.1,3,2698.5387369791665,2886.067018511501,0.6118770464334262
TTM,0.1,4,2148.6622721354165,2324.6459171404126,0.4871959430639454
TTM,0.1,5,1290.5071614583333,1524.6092528988236,0.29261455451191687
TTM,0.1,6,1873.8938802083333,2082.331194458489,0.42489390166586277
TTM,0.1,7,1141.1251627604167,1441.4090295242208,0.25874310590120575
TTM,0.1,8,1611.6521809895833,1772.677097690429,0.3654322107252037
TTM,0.1,9,1662.1614583333333,1890.2843964771203,0.37688487842830926
TTM,0.2,0,2121.45751953125,2347.2915282357553,0.4810274328831268
TTM,0.2,1,1762.6961263020833,1921.2735736194074,0.3996804954998454
TTM,0.2,2,1723.7750651041667,1835.218628132694,0.39085538447086865
TTM,0.2,3,2696.5792643229165,2873.90085112437,0.6114327480711149
TTM,0.2,4,2099.2371419270835,2285.611892088614,0.47598909904979714
TTM,0.2,5,1304.5755208333333,1524.0689286157487,0.29580446839552305
TTM,0.2,6,1886.4132486979167,2076.5155429879924,0.42773259140177267
TTM,0.2,7,1084.404296875,1404.458268081679,0.24588199873475222
TTM,0.2,8,1610.9241536458333,1767.414791390665,0.3652671350067372
TTM,0.2,9,1693.0792643229167,1941.0161900227533,0.38389530060675287
Prophet,0.0,0,3053.165846112122,3160.126270060693,0.6922865603485019
Prophet,0.0,1,1704.5716134052548,1890.1617879057203,0.38650112001439074
Prophet,0.0,2,614.4775172511594,739.7990231338775,0.13932899431944926
Prophet,0.0,3,1401.7151733470307,1612.7023955687569,0.31783028661230617
Prophet,0.0,4,951.1646989570118,1068.6953176139398,0.21567074012843732
Prophet,0.0,5,1411.805650399604,1561.3804830529987,0.3201182401671046
Prophet,0.0,6,1338.995497103975,1783.366564462293,0.30360898612587256
Prophet,0.0,7,2352.1679280206176,2652.375768488546,0.5333395977571985
Prophet,0.0,8,1886.0900714578431,2118.616159143199,0.4276593129520617
Prophet,0.0,9,1213.151287291479,1405.7798582695084,0.2750745862465453
Prophet,0.05,0,3126.676249092013,3234.6541292034003,0.7089545916949105
Prophet,0.05,1,1815.8288579151588,1998.4129670108036,0.4117280153085631
Prophet,0.05,2,623.6628942905776,752.9407167663759,0.14141172201805113
Prophet,0.05,3,1368.5618518976432,1576.5906959522365,0.31031297506516203
Prophet,0.05,4,945.9695757031501,1063.2431185720761,0.2144927779117493
Prophet,0.05,5,1417.9272350195777,1565.4705998361878,0.3215062717952719
Prophet,0.05,6,1377.4851062051227,1826.8606134247414,0.31233626804792164
Prophet,0.05,7,2333.028753908143,2630.8500505433312,0.5289999078477531
Prophet,0.05,8,1969.3697158167943,2209.4918274093047,0.44654245964182315
Prophet,0.05,9,1093.6468281755563,1263.8046707633384,0.24797768581022608
Prophet,0.1,0,3074.308957796713,3185.3180276918247,0.6970806307662056
Prophet,0.1,1,1995.3694500964145,2170.7106849426623,0.4524377393356313
Prophet,0.1,2,624.241520507705,755.2437799877466,0.14154292195076776
Prophet,0.1,3,1366.4154368179459,1573.7994649981483,0.30982628865914974
Prophet,0.1,4,931.253169149325,1049.960884885791,0.21115592331971625
Prophet,0.1,5,1407.7049056504777,1545.6895760615919,0.31918842153938254
Prophet,0.1,6,1283.4710047787576,1711.974251805552,0.2910191492993309
Prophet,0.1,7,2289.3748781024256,2583.818438600365,0.5191016602416154
Prophet,0.1,8,2007.6282082355465,2255.7606668318936,0.45521733727889097
Prophet,0.1,9,1046.1868573329023,1201.5709481335239,0.23721642958474473
Prophet,0.2,0,2944.3401984503016,3071.137143449511,0.6676110146707473
Prophet,0.2,1,1868.9280316464076,2065.194162518582,0.4237679260741586
Prophet,0.2,2,699.9596055475271,848.348226276186,0.15871153161379778
Prophet,0.2,3,1812.7236037776968,1973.2878636997345,0.411023918048806
Prophet,0.2,4,1065.1065205065743,1156.5081204659562,0.24150634674012372
Prophet,0.2,5,1452.5413786299387,1589.6440147697404,0.3293548157746106
Prophet,0.2,6,1761.5433130294434,2158.4037573474475,0.3994191021869809
Prophet,0.2,7,2227.003312167563,2497.248878660612,0.5049592916246012
Prophet,0.2,8,2207.0327706769453,2460.041552134652,0.5004310942800508
Prophet,0.2,9,1486.4311594248775,1716.0153293741319,0.3370391149447224
