model,coverage_90,coverage_std,deviation_from_ideal,crps,winkler_90,interpretation
Chronos-Bolt,0.8611111111111112,0.20885948884161962,0.03888888888888886,1007.1147464788768,8301.883589159308,Well-calibrated
Chronos-2,0.951388888888889,0.08621687362444451,0.05138888888888893,1071.2497309745772,7933.773952570039,Conservative (wide intervals)
TTM,1.0,0.0,0.09999999999999998,1917.0130389300998,20408.395291447083,Conservative (wide intervals)
Moirai-2,0.7097222222222223,0.27366082264236796,0.19027777777777777,1125.0628141752688,10784.121874814162,Overconfident (narrow intervals)
Prophet,0.6972222222222224,0.23871396072433612,0.2027777777777776,1416.7197112814958,13745.75092093017,Overconfident (narrow intervals)
