model,mean_mase,std_mase,cv,min_mase,max_mase,range,worst_period,best_period
Prophet,0.5452844614423089,0.11041762193471485,0.20249544915080445,0.43651752929252374,0.6572818762341628,0.22076434694163904,winter_2022,covid_2020
TTM,0.4284284564740684,0.10456395251420966,0.24406397598974294,0.3146063879065376,0.5202253431288184,0.2056189552222808,summer_2023,covid_2020
Chronos-Bolt,0.33375831554805124,0.08956425939342284,0.2683506454254269,0.23049358158047806,0.39029502750819217,0.15980144592771411,summer_2023,covid_2020
Moirai-2,0.33040896686338683,0.1310454241280345,0.3966158224217245,0.20807940087146556,0.4687068241405375,0.26062742326907196,summer_2023,covid_2020
SARIMA,0.5168540420477568,0.21096084869059326,0.40816329471812607,0.3883476296974072,0.7603251495857329,0.3719775198883257,summer_2023,covid_2020
Chronos-2,0.3385873677165466,0.13969150500032368,0.41257152014385984,0.2075558362713031,0.4855695062232262,0.2780136699519231,summer_2023,covid_2020
SeasonalNaive,0.6987886261311896,0.3938776190011867,0.5636577418007954,0.34026314951409564,1.1204027430461068,0.7801395935320111,summer_2023,covid_2020
