model,coverage_90,calibration_deviation,crps,robustness_cv,latency_s,rank_calibration,rank_crps,rank_robustness,rank_latency,composite_rank
Chronos-Bolt,0.8611111111111112,0.03888888888888886,1007.1147464788768,0.2683506454254269,0.03084166333234554,1.0,1.0,1.0,2.0,5.0
Moirai-2,0.7097222222222223,0.19027777777777777,1125.0628141752688,0.3966158224217245,0.02625612999157354,3.0,3.0,2.0,1.0,9.0
Chronos-2,0.951388888888889,0.05138888888888893,1071.2497309745772,0.41257152014385984,0.0773682766516382,2.0,2.0,3.0,3.0,10.0
