model,mean_latency_s,mean_latency_ms,std_latency_s,max_latency_s,min_latency_s
SeasonalNaive,7.729985130329927e-06,0.0077299851303299265,8.530639900652658e-07,1.0200077667832376e-05,6.8999361246824265e-06
TTM,0.0035476533385614033,3.5476533385614033,0.0004407835526076536,0.0043950998224318,0.0030257001053541
Moirai-2,0.02625612999157354,26.25612999157354,0.0007946718889008447,0.0276396998669952,0.0246586999855935
Chronos-Bolt,0.03084166333234554,30.84166333234554,0.0017575031210066107,0.0331051000393927,0.0266494001261889
Chronos-2,0.0773682766516382,77.3682766516382,0.0015264438215855346,0.0815783999860286,0.0735172999557107
Prophet,0.29973905000369994,299.73905000369996,0.03860407542281638,0.3840197001118213,0.2469103999901563
SARIMA,6.345790326634112,6345.790326634112,1.5718208610762148,10.13858039979823,4.45366399991326
